cluster,cpufreq,ddrfreq,w1,w2,w3,bias
1,1708800,451,0.000595907,0.039705878,0.016441971,426.3132821
1,1708800,547,0.000531323,0.039268409,0.014769925,127.7360067
1,1708800,681,0.000470518,0.037359,0.014272565,166.8472251
1,1708800,768,0.00047513,0.0308482,0.014205993,145.6860586
1,1708800,1017,0.000446064,0.023345149,0.013139429,258.5040574
1,1708800,1353,0.000366395,0.021845067,0.011690724,622.0008881
1,1708800,1555,0.000440136,0.014984019,0.010542122,897.8648422
1,1708800,1804,0.000403311,0.011023968,0.010787361,847.0651937
1,1708800,2092,0.000347988,0.012140117,0.0112696,915.5136149
1,1804800,200,0,0,0,0
1,1804800,300,0.000723871,0.077273528,0.012012903,1673.637668
1,1804800,451,0.000551727,0.0381023,0.017824189,495.2638467
1,1804800,547,0.000508682,0.040276381,0.013519564,240.6786265
1,1804800,681,0.000472848,0.03810442,0.012992666,142.0891395
1,1804800,768,0.000438948,0.032958517,0.013062891,211.2104039
1,1804800,1017,0.000448835,0.024475263,0.011629445,323.8851624
1,1804800,1353,0.000414064,0.017959895,0.011327119,656.6562075
1,1804800,1555,0.000431401,0.014708971,0.010074184,869.1575734
1,1804800,1804,0.000387171,0.011110361,0.01021969,860.1747556
1,1804800,2092,0.000325208,0.011607247,0.011388194,923.5156125
1,1920000,200,0,0,0,0
1,1920000,300,0.000739886,0.074172165,0.012444716,1679.965814
1,1920000,451,0.000576362,0.038298449,0.016028097,405.625644
1,1920000,547,0.000487953,0.036926885,0.014710908,283.9544572
1,1920000,681,0.000446204,0.036147298,0.013692185,216.1253274
1,1920000,768,0.000429696,0.031468551,0.013376873,195.5934375
1,1920000,1017,0.000428659,0.024535442,0.011269478,346.7974898
1,1920000,1353,0.000384624,0.020439492,0.009936509,562.0412456
1,1920000,1555,0.000411971,0.014102247,0.010164641,856.9113402
1,1920000,1804,0.000354579,0.012579324,0.009505417,799.6175398
1,1920000,2092,0.000332455,0.008817885,0.010948311,1139.482062
1,2016000,200,0,0,0,0
1,2016000,300,0.000728722,0.075500427,0.012083731,1488.857193
1,2016000,451,0.000547466,0.039238013,0.01577486,391.1127133
1,2016000,547,0.000450026,0.043475339,0.011922786,356.4218303
1,2016000,681,0.000444042,0.03754168,0.011922736,347.760557
1,2016000,768,0.000413429,0.032324382,0.012502451,205.6896322
1,2016000,1017,0.00037892,0.027579221,0.010331677,376.8444466
1,2016000,1353,0.000381079,0.01939934,0.010078253,516.1401238
1,2016000,1555,0.000387278,0.015452391,0.009254678,891.4163463
1,2016000,1804,0.000327151,0.013305402,0.009081512,861.1829302
1,2016000,2092,0.000349294,0.011269772,0.009839735,779.5157365
1,2131200,200,0,0,0,0
1,2131200,300,0.000721271,0.074025918,0.011593188,1788.849162
1,2131200,451,0.000516361,0.039366156,0.015986808,402.2235052
1,2131200,547,0.000460987,0.041036754,0.011829984,483.9051833
1,2131200,681,0.000413052,0.038312302,0.011970228,199.7887245
1,2131200,768,0.000421053,0.031908534,0.0114972,302.3002357
1,2131200,1017,0.000401547,0.024698027,0.010410431,348.8064083
1,2131200,1353,0.000333796,0.020879549,0.009707766,583.6586721
1,2131200,1555,0.000363566,0.015551211,0.009230986,834.8588313
1,2131200,1804,0.00033716,0.011194667,0.009270327,826.9593164
1,2131200,2092,0.000343945,0.010216812,0.009766982,798.8151288
